,Dimension,NumberOfMines,FinalScore
0,8,6,0.6666666666666666
1,8,8,0.0
2,8,10,0.1
3,8,12,0.4166666666666667
4,8,14,0.2857142857142857
5,8,16,0.5
6,8,6,0.5
7,8,8,0.75
8,8,10,0.2
9,8,12,0.25
10,8,14,0.5714285714285714
11,8,16,0.0625
12,8,6,0.5
13,8,8,0.25
14,8,10,0.2
15,8,12,0.0
16,8,14,0.6428571428571429
17,8,16,0.375
18,8,6,0.16666666666666666
19,8,8,0.375
20,8,10,0.7
21,8,12,0.25
22,8,14,0.14285714285714285
23,8,16,0.0
24,8,6,0.0
25,8,8,0.625
26,8,10,0.1
27,8,12,0.3333333333333333
28,8,14,0.0
29,8,16,0.3125
30,8,6,0.3333333333333333
31,8,8,0.625
32,8,10,0.1
33,8,12,0.0
34,8,14,0.21428571428571427
35,8,16,0.0
36,8,6,0.6666666666666666
37,8,8,0.375
38,8,10,0.5
39,8,12,0.4166666666666667
40,8,14,0.2857142857142857
41,8,16,0.0625
42,8,6,0.3333333333333333
43,8,8,0.25
44,8,10,0.3
45,8,12,0.16666666666666666
46,8,14,0.14285714285714285
47,8,16,0.125
48,8,6,0.16666666666666666
49,8,8,0.375
50,8,10,0.2
51,8,12,0.25
52,8,14,0.7142857142857143
53,8,16,0.75
54,8,6,0.0
55,8,8,0.375
56,8,10,0.4
57,8,12,0.3333333333333333
58,8,14,0.14285714285714285
59,8,16,0.25
